price,image,descriptions,name,category,rating,company/manufacture,id
460,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Ff20.jpg?alt=media&token=a256b7ba-ef64-4ddb-a20c-a40cf0969fab,* COMPOSITION: Contains 52% Phosphorous 34% Potassium in 100% water-soluble form.\n * CROP: All crops.\n * DOSAGE & METHOD OF APPLICATION: Foliar Spray: Dissolve 3.0 - 5.0 g in one liter of water and spray on both the surface of the leaves.Fertigation:2-3 kg per acre.\n * BENEFITS: Application of ANSHUL MONO P: K fertilizer either through foliar spray or fertigation will help in better nutrient uptake and thereby increases the yield and quality of the produce.,ANSHUL MONO P:K Mono Potassium Phosphate (00:52:34) Contains 52% Phosphorous and 34% Potassium In 100% Water Soluble Form,fertilizers,0,Anshul Agro Chemicals,1GRjmu5kpxlIDGMYLY31
1053,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Ff15.png?alt=media&token=b2feaccf-881d-4402-8cb7-8e00fbbbfb65,"* Bhu-Recharge is a granulated organic mineral derived from natural sources of vegetable (Seaweeds) origin. It is used to increase the yield and quality of produce in paddy, wheat, gram, sugarcane, soybean, potato, banana, opium, tea, and all type of vegetables, fruits, and flower plants.\n * Dosage: 10kg per acre. ","Cropcine Bhu Recharge Organic Manure Zyme Granules Containing Seaweed Extract, Humic Acid, Protein used for all Type of Vegetables, Fruits and Flowers",fertilizers,0,Cropcine Agro Chemicals,1dB7ezkjkUCSHUzWtMeP
8480,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Feq19.jpg?alt=media&token=7e204b0a-dd99-4387-b109-8c8bda081f48,"Diameter of the tank is 2 Meters for 5500 Liters, Diameter of the tank is 3 Meters for 9000 Liters, Diameter of the tank is 6 Meters for 30000 Liters.\n Package Content for Biofloc Fish Tank 2 meters , 5500 Liters :A Biofloc Fish Tank with Protection Cover, Specifications : Diameter - 2 meter, Height - 1.45 meter, Capacity - 5500 litre. Quality : 650 GSM, Material : PVC\n Package Content for Biofloc Fish Tank 6 meters , 30000 Liters : Biofloc Fish Tank with Protection Cover, Specifications : Diameter - 6 meter, Height - 1.2 meter, Capacity - 30000 litre. Quality : 650 GSM, Material : PVC\n Package Content for Biofloc Fish Tank 3 meters , 9000 Liters : Biofloc Fish Tank with Protection Cover, Specifications : Diameter - 3 meter, Height - 1.2 meter, Capacity - 9000ltr - Quality : 650 GSM, Material : PVC\n Please note: we will supply only tarpaulin and tarpaulin cover for the tank. You need to put this tarpaulin on wire mesh. You have to prepare a wire mess as per tank size. We can provide you images of wire mesh for your reference.",Mipatex 650 GSM PVC Tarpaulin for Biofloc Fish Tank (Blue Color). With Protection Cover. PVC Material and High Quality,equipments,0,Mipatex India,1thQ8yF2Co9mzLuTlzWM
250,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Fsd2.jpg?alt=media&token=505c221a-6a39-454b-8d89-b14e729b6f63,Sarpan Balsam-4  Dark red and white spray type Plants 50-60 cm long Good for bedding and potting.,Sarpan Seeds Balsam 4 Dark Red And White Spray Type Good for bedding and potting,seeds,0,Sarpan Seeds,1wQ2UxNlHPUBX9ZQRHi8
993,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Firr07.png?alt=media&token=34131b7b-3947-451c-ac8d-2dab388942dd,"Drip Irrigation Accessories Pepsi Cock\n Material : Plastic\n Size : 16 mm Use drip irrigation method in your garden, nursery, agriculture and save water.","Gokul - Drip Irrigation Accessories, Pepsi Cock 16mm, Durable Quality Material",irrigation,0,Gokul Poly Valves Pvt. Ltd.,2HOnxDd2MfMk4tqyIslW
265,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Fsd5.jpg?alt=media&token=6dbaea7c-4644-4843-b7bd-df321a110862,"Sarpan Gomparnia-27 Pink  Plants 45-60 cm tall Flowers 1-1.5 cm diameter Suitable for bedding, Ikebana art and cut flower.","Sarpan Gomparnia-27 Pink, Best In Germination, Perfect For Indian Conditions.",seeds,0,Sarpan Seeds,2VYwDu7VKyvXArQ7aeFA
610,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Ff06.jpg?alt=media&token=7d36b41e-df52-4b69-a9d2-ff6624eeca56,"Zinc Micronutrient Fertilizer - Zn EDTA 12 %, Use On Paddy, Cotton, Chillies, Sugarcane, Vegetables, Maize, Groundnut, Horticulture Crops Z3 – A Zinc Micronutrient fertilizer FOLIAR SPRAY TECHNICAL – Zn EDTA 12% Zinc is an activator of oxidizing enzymes and is essential for the synthesis of important growth hormones.  Zinc plays a major influence in chlorophyll formation, photosynthesis, metabolic and energy process.  Zinc deficiencies are prevalent in almost all crops and soils in the country.  The result of zinc deficiencies is stunted crop growth, prolonged duration, and poor yields.  ABOUT Z3 – ZINC MICRONUTRIENT FERTILIZER Zinc Deficiencies can be easily rectified by using Z3.  Z3 being in the chelated form, it ensures complete availability of the Zinc to the plant without fixation in the soil.  Z3 improves the efficiency of NPK applied and is easily absorbed by the plants in all weather conditions & soils and is completely soluble in water.  Directions for use: Dissolve 100 grams of Z3 in 150-200 liters of water snd spray over one acre of standing crop on both sides of leaves. The dose may be increased or application repeated depending upon the severity of Zinc deficiency and the nature of the crop. Recommended for use on Paddy, Cotton, Chillies, Sugarcane, Vegetables, Maize, Groundnut, Horticulture crops, etc.   Legal Disclaimer - For agriculture and Gardening use only. The product is beyond our control hence we are not responsible for any damage.","Zinc Micronutrient Fertilizer - Zn EDTA 12 %, Use On Paddy, Cotton, Cotton, Chillies.",fertilizers,0,Imported Product,2ZNWaocogYuI3rLplaHe
181,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Fsd9.jpg?alt=media&token=9def434a-7013-4910-bc38-734a297be3b1,"Germination of all the seeds is more than 70% if grown under ideal conditions. All seeds are in Kitchen garden packing, more than sufficient quantity to grow at home, or at farms. Selected premium and fresh seeds with generous fruiting and flowering  Potting Medium: Warm and moist potting mix  Pot Size: 12-15 inches  Seed Placement: ½ Inch deep  Water Requirement: Moist and drained  Sunlight: Bright Indirect Sunlight  Sowing Distance: 12-18 Inches  Sowing Time: Preferably summer & rainy","Gro Golden Hybrid Kitchen Garden Okra F1 Seeds, Bhindi Seeds, Excellent Germination",seeds,0,Gro Golden Seeds,38uUNYtVUWlywoa5iTKY
8427,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Feq17.jpg?alt=media&token=50fa87f1-684a-4cdc-8486-ab45a9d9e869,"* Internal Diameter: 10 mm, Pipe Length: 100 Meters, Material: PVC\n * Excellent Quality, Never Go Bad In Heat, Sun, Rain, Dust\n * Durable & Long Lasting Product Material/Durable And Flexible In All Weathers\n * Ideal For Multiple Uses\n * Approx weight with Accessories: 17 Kg.","Pressure Hose Pipe, Watering Pipe for Gardening (10 MM, 100 MTR), Excellent Quality, Never Go Bad In Heat, Sun, Rain, Dust",equipments,0,Neptune Fairdeal Products Pvt. Ltd,390YR8I6EuQGdjyJtHmh
425,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Fsd20.jpg?alt=media&token=ae92d41f-88d8-4ba9-873b-6193eff2def0,"* Cylindrical hybrid cucumber variety with green color\n * Maturity 38 to 42 days, tolerant to disease, fruit size 18 to 22 cms and high yielding variety.\n * Seed Requirement : 4 to 5 kg  per acre\n * Germination : 80 to 90 %","Cucumber Wonder Strike F1 -Shine Brand Seeds (25 Seeds) Kitchen Garden, Green Color",seeds,0,Shine Brand Seeds,3OSz2PKexwc90pp0YiSc
3299,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Firr06.jpg?alt=media&token=af49ded8-c26d-4eba-bf1e-8c98dc321442,"Rain pipe helps to reduce consumption of energy & water more than 50%. With help of appropriate water pressure, a rain pipe can spray water up to 10 to 15 feet on both sides. One unit of Rain-pipe has a length of 100 meters. Drip holes of Rain pipes are made with laser punching technology to ensure a uniform flow of water. 3 types of Accessories are provided absolutely free with the rain-pipe unit. Rain pipe has 3-4 years of life span. Rain pipe is easy to assemble and also easy to relocate Rain Pipe Contains:-  Rain Pipe (2) Cock(6), Joiner(6), End Cap(6), Grommet(6) Drill Bit(1)","Siddhi Vegetable Garden 40MM Rain Pipe 600 Sq m Area with Rain Pipe(2) Cock(6), Joiner(6), End Cap(6), grommet(6) and Drill Bit(1)",irrigation,0,SIddhi Vinayak Enterprises,40qJZlGZFqLXFbSf2wd7
456,https://firebasestorage.googleapis.com/v0/b/kisan-mitra-f388f.appspot.com/o/products%2Fsd13.jpg?alt=media&token=39243a2f-8052-4020-9fa9-4987433cd2d1,"* Seed Requirement : 4 to 5 kg per acre\n * Germination : 80 to 90 %\n * Maturity of Fruit : 55 to 60 days\n * Shine brand seeds provide very juicy & good for salad, root color is red, and a product is italy.","Beet Root Rachna Imported, Shine Brand Seeds (25 Seeds) Kitchen Garden, Excellent Germination",seeds,0,Shine Brand Seeds ,5YaTlU6r2cj0TQwgzDIT
